Nama Paket,Instansi,preprocessing
Tenaga Ahli Data Driven Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,tenaga ahli data driven kegiatan koordinasi sekretariat dewan tik nasional ta 2020 spse 4.3 jasa konsultansi perorangan ta 2020 seleksi pascakualifikasi file kualitasnilai kontrak nilai kontrak dibuat
Tenaga Ahli IT Analisa Sistem   Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,tenaga ahli it analisa sistem kegiatan koordinasi sekretariat dewan tik nasional ta 2020 spse 4.3 jasa konsultansi perorangan ta 2020 seleksi pascakualifikasi file kualitasnilai kontrak nilai kontrak dibuat
Tenaga Ahli Senior Monitoring dan Evaluasi Strategic National ICT  Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,tenaga ahli senior monitoring evaluasi strategic national ict kegiatan koordinasi sekretariat dewan tik nasional ta 2020 spse 4.3 jasa konsultansi perorangan ta 2020 seleksi pascakualifikasi file kualitasnilai kontrak nilai kontrak dibuat
Tenaga Ahli Senior Perencanaan Strategic National ICT  Kegiatan Koordinasi Sekretariat Dewan Tik Nasional TA 2020 spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,tenaga ahli senior perencanaan strategic national ict kegiatan koordinasi sekretariat dewan tik nasional ta 2020 spse 4.3 jasa konsultansi perorangan ta 2020 seleksi pascakualifikasi file kualitasnilai kontrak nilai kontrak dibuat
Tenaga Ahli Muda Bidang Energy Policy Kegiatan Koordinasi Penyusunan Rencana Kerja Pemerintah (RKP) 2021 Lingkup Energi Telekomunikasi dan Informatika spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,tenaga ahli muda bidang energy policy kegiatan koordinasi penyusunan rencana kerja pemerintah rkp 2021 lingkup energi telekomunikasi informatika spse 4.3 jasa konsultansi perorangan ta 2020 seleksi pascakualifikasi file kualitasnilai kontrak nilai kontrak dibuat
Tenaga Ahli Transportasi (Sektor Jalan dan Darat) Kegiatan Koordinasi penyusunan RKP 2021 terkait lingkup Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,tenaga ahli transportasi sektor jalan darat kegiatan koordinasi penyusunan rkp 2021 terkait lingkup transportasi spse 4.3 jasa konsultansi perorangan ta 2020 seleksi pascakualifikasi file kualitasnilai kontrak nilai kontrak dibuat
Tenaga Ahli Muda Transportasi (Sektor Laut) Kegiatan Koordinasi penyusunan RKP 2021 terkait lingkup Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,tenaga ahli muda transportasi sektor laut kegiatan koordinasi penyusunan rkp 2021 terkait lingkup transportasi spse 4.3 jasa konsultansi perorangan ta 2020 seleksi pascakualifikasi file kualitasnilai kontrak nilai kontrak dibuat
"Tenaga Ahli Muda Transportasi Kegiatan Integrasi, Harmonisasi, Sinkronisasi dan Sosialisasi RPJMN 2020-2024 lingkup Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat",Kementerian Perencanaan Pembangunan Nasional,tenaga ahli muda transportasi kegiatan integrasi harmonisasi sinkronisasi sosialisasi rpjmn 2020-2024 lingkup transportasi spse 4.3 jasa konsultansi perorangan ta 2020 seleksi pascakualifikasi file kualitasnilai kontrak nilai kontrak dibuat
Tenaga Ahli Muda GIS Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,tenaga ahli muda gis kegiatan koordinasi strategis pelaksanaan dak transportasi spse 4.3 jasa konsultansi perorangan ta 2020 seleksi pascakualifikasi file kualitasnilai kontrak nilai kontrak dibuat
Tenaga Ahli Kelembagaan dan Kebijakan Publik Kegiatan Koordinasi Strategis Pelaksanaan DAK Transportasi spse 4.3  Jasa Konsultansi Perorangan - TA 2020 - Seleksi - Pascakualifikasi Dua File KualitasNilai Kontrak : Nilai Kontrak belum dibuat,Kementerian Perencanaan Pembangunan Nasional,tenaga ahli kelembagaan kebijakan publik kegiatan koordinasi strategis pelaksanaan dak transportasi spse 4.3 jasa konsultansi perorangan ta 2020 seleksi pascakualifikasi file kualitasnilai kontrak nilai kontrak dibuat
